full_name,description,language,topics,default_branch,license,created_at,updated_at,pushed_at,stargazers_count,forks_count,open_issues_count,watchers_count,size_kb,is_fork,is_archived,has_wiki,has_projects,has_discussions,contributors_count,commit_count_last_year,has_readme,readme_size_bytes,has_ci_workflow,open_prs_count,release_count,repo_age_days,days_since_last_push,days_since_last_update,commits_per_month,doc_score,maturity_score,community_score,topics_count,is_likely_template,is_abandoned
youtubediscord/zapret,Zapret (Запрет обход блокировки Дискорда и Ютуба),Python,"['bypass', 'dpi', 'dpi-bypass', 'dpi-bypassing', 'rkn', 'russia', 'vpn', 'vpn-service', 'zapret', 'zapret-discord-youtube']",main,,2025-02-26T19:09:17Z,2026-05-29T17:57:54Z,2026-05-29T17:57:50Z,1122,83,178,1122,13439,False,False,False,False,True,7,0,True,5615,True,3,2630,-57,-514,-514,0.0,2,4,11.45,10,False,False
aws/aws-cli,Universal Command Line Interface for Amazon Web Services,Python,"['aws', 'aws-cli', 'cloud', 'cloud-management']",develop,NOASSERTION,2012-11-20T16:07:36Z,2026-05-29T17:57:55Z,2026-05-29T17:57:28Z,16996,4555,633,16996,475151,False,False,False,True,True,500,890,True,10243,True,163,1,4424,-514,-514,6.04,2,5,18.16,4,False,False
RyanCodrai/turbovec,"A vector index built on TurboQuant, written in Rust with Python bindings",Python,"['ann', 'avx512', 'embedding', 'embeddings', 'faiss', 'nearest-neighbor', 'neon', 'python', 'quant', 'quantization', 'rag', 'rust', 'simd', 'turboquant', 'vector-search']",main,MIT,2026-03-26T10:32:44Z,2026-05-29T17:57:08Z,2026-05-29T17:57:05Z,3468,311,4,3468,4904,False,False,True,True,False,4,0,True,13593,True,0,0,-450,-514,-514,0.0,3,3,13.89,15,False,False
camelot-dev/camelot,A Python library to extract tabular data from PDFs,Python,[],master,MIT,2019-07-01T13:39:33Z,2026-05-29T17:56:49Z,2026-05-29T17:56:43Z,3727,539,56,3727,23700,False,False,True,True,False,80,0,True,11029,True,1,10,2010,-514,-514,0.0,3,5,14.52,0,False,False
pytorch/pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,Python,"['autograd', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'numpy', 'python', 'tensor']",main,NOASSERTION,2016-08-13T05:26:41Z,2026-05-29T17:56:27Z,2026-05-29T17:57:58Z,100258,27883,18366,100258,1368464,False,False,True,True,False,6579,17042,True,29372,True,2786,66,3062,-514,-514,166.97,3,5,21.75,8,False,False
NVIDIA/TransformerEngine,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit and 4-bit floating point (FP8 and FP4) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.",Python,"['cuda', 'deep-learning', 'fp4', 'fp8', 'gpu', 'jax', 'machine-learning', 'python', 'pytorch']",main,Apache-2.0,2022-09-20T15:20:26Z,2026-05-29T17:55:59Z,2026-05-29T17:55:54Z,3362,733,370,3362,21630,False,False,False,False,True,171,0,True,25757,True,138,32,833,-514,-514,0.0,2,4,14.72,9,False,False
dbt-labs/dbt-core,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,Python,"['analytics', 'business-intelligence', 'data-modeling', 'dbt-viewpoint', 'elt', 'pypa', 'slack']",main,NOASSERTION,2016-03-10T02:38:00Z,2026-05-29T17:55:47Z,2026-05-29T17:55:54Z,12872,2407,837,12872,61620,False,False,False,False,True,370,0,True,2717,True,194,323,3218,-514,-514,0.0,2,4,17.25,7,False,False
gadievron/raptor,"Raptor turns Claude Code into a general-purpose AI offensive/defensive security agent. By using Claude.md and creating rules, sub-agents, and skills, and orchestrating security tool usage, we configure the agent for adversarial thinking, and perform research or attack/defense operations.",Python,[],main,NOASSERTION,2025-10-17T10:10:40Z,2026-05-29T17:55:34Z,2026-05-29T17:55:29Z,2784,438,18,2784,18583,False,False,True,True,False,23,0,True,17973,True,7,1,-290,-514,-514,0.0,3,5,14.02,0,False,False
onyx-dot-app/onyx,Open Source AI Platform - AI Chat with advanced features that works with every LLM,Python,"['ai', 'ai-chat', 'chatgpt', 'chatui', 'enterprise-search', 'gen-ai', 'information-retrieval', 'llm', 'llm-ui', 'nextjs', 'python', 'rag', 'self-hosted', 'vector-search']",main,NOASSERTION,2023-04-27T06:04:01Z,2026-05-29T17:55:13Z,2026-05-29T17:57:58Z,29890,4060,396,29890,1329137,False,False,False,True,True,194,0,True,6111,True,289,202,614,-514,-514,0.0,2,5,18.61,14,False,False
langflow-ai/langflow,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,Python,"['agents', 'chatgpt', 'generative-ai', 'large-language-models', 'multiagent', 'react-flow']",main,MIT,2023-02-08T22:28:03Z,2026-05-29T17:56:12Z,2026-05-29T17:55:05Z,148877,9142,932,148877,1319293,False,False,True,True,True,343,3830,True,4729,True,698,294,692,-514,-514,166.04,3,5,21.03,6,False,False
lucidrains/PaLM-rlhf-pytorch,Implementation of RLHF (Reinforcement Learning with Human Feedback) on top of the PaLM architecture. Basically ChatGPT but with PaLM,Python,"['artificial-intelligence', 'attention-mechanisms', 'deep-learning', 'human-feedback', 'reinforcement-learning', 'transformers']",main,MIT,2022-12-09T17:53:46Z,2026-05-29T17:54:55Z,2026-05-29T17:54:51Z,7864,677,20,7864,35956,False,False,True,True,True,5,0,True,13464,True,3,90,753,-514,-514,0.0,3,5,15.49,6,False,False
aws/aws-sam-cli,"CLI tool to build, test, debug, and deploy Serverless applications using AWS SAM",Python,"['api-gateway', 'aws', 'docker', 'lambda', 'python', 'sam', 'serverless', 'serverlessapplicationmodel']",develop,Apache-2.0,2017-05-23T18:16:23Z,2026-05-29T17:54:51Z,2026-05-29T17:54:47Z,6717,1224,510,6717,178743,False,False,True,True,True,344,0,True,8293,True,45,252,2779,-514,-514,0.0,3,5,15.92,8,False,False
caronc/apprise-api,A lightweight REST framework that wraps the Apprise Notification Library,Python,"['alerts', 'apprise', 'docker', 'notification-api', 'notification-hub', 'notification-server', 'notifications', 'notify', 'push-notifications', 'sidecar-container']",master,MIT,2019-10-27T03:53:39Z,2026-05-29T17:54:24Z,2026-05-29T17:55:38Z,1217,94,11,1217,4725,False,False,True,False,True,23,0,True,56442,True,2,35,1892,-514,-514,0.0,3,4,11.66,10,False,False
google/orbax,Orbax provides common checkpointing and persistence utilities for JAX users,Python,"['checkpoint', 'flax', 'jax']",main,Apache-2.0,2022-05-06T17:36:22Z,2026-05-29T17:53:09Z,2026-05-29T17:53:06Z,514,96,409,514,9427,False,False,False,True,True,107,0,True,5256,True,370,77,970,-514,-514,0.0,2,5,10.82,3,False,False
dwavesystems/dwave-ocean-sdk,Installer for D-Wave's Ocean tools,Python,['quantum-computing'],master,Apache-2.0,2017-11-21T19:24:37Z,2026-05-29T17:52:59Z,2026-05-29T17:52:53Z,524,185,26,524,69328,False,False,True,True,False,29,0,True,4263,False,2,74,2597,-514,-514,0.0,3,4,11.49,1,False,False
